Text,Sentimen
Stop naming him bad actor anjir kalo ga diginiin kominfo sm dpr bakal tetep santai santai aja Cape jg nulis tentang ruu pdp mulu kalo cuma didiemin jadi prolegnas doang dari dulu,negatif
gaya sok peduli,negatif
Banyak bacot doang,negatif
Data pribadi bocor kerap ditemui Sayang,negatif
Bukan cepat diselesaikan,negatif
Bang ismail cek deh RUU PDP ini Pasal 50 Ayat 3 Apakah pasal itu masih ada Di rancangan terakhir Masa Menteri Memberikan sanksi Terhadap Kementeriannya Sendiri kalau kejadian bocor kyk kemarin data Simcard,negatif
mulainya ya dari RUU PDP jadi UU PDP  itu komisi 3 sebanyak itu orang orang nya dan kalau ngomong pada pintar pintar tapi kok gak rampung rampung juga ya,negatif
dah gak pada fokus kerjanya,negatif
Atau pelaku kejahatan pelecehan sexual seperti di bio lu yg akan dilindungi RUU  PDP,negatif
Masalah yg banyak orang luput sadari adalah sepanjang proses RUU PDP itu tidak pernah transparan,negatif
Mendapatkan draft RUU PDP yang terbaru itu susah sekali,negatif
setelah data pribadi bocor,negatif
Di level pejabatnya itu gada yg mau jadi pejabat penanggung jawab PDP Lempar lemparan terus itu RUU sampe hari ini GDPR ini sudah lama jg saya mintakan ke salah satu pejabat di Kemkominfo Apalagi nantinya di daerah,negatif
Orang orang pada ngagep Bjorka pahlawan Padhal yg dijualin di darkweb itu data kita2 juga Yg dirugikan kita2 juga,negatif
Sorry RUU PDP itu masih bermasalah,negatif
Draft terbarunya saja susah sekali didapatkan,negatif
Di situs DPR saja juga tidak ada,negatif
Ini alamat jadi sumber masalah baru lagi,negatif
Kalau gak salah sudah 1 tahun labih gak kelar kelar,negatif
Gak ada sesuatu yg terjadi karena kebetulan  kasus war sama eljembut,negatif
Data Pribadi Denny Siregar Bocor,negatif
Kira kira RUU PDP ini bakal efektif nggak ya buat menangani masalah kebocoran data,negatif
Bukannya di RUU PDP jadi mandek karena ente itu rebutan kekuasaan buat yang jadi otoritas perlindungan data ya Sekarang…,negatif
mau sampe kapan punya pemerintah yang ga aware sama perlindungan data pribadi RUU PDP saya rasa ga mungkin bisa menanggulangi untuk perlindungan data pribadi Solusinya revolusi untuk bidang teknologi negara kita,negatif
dibayar ama berapa bos Buat mulusin ruu pdp kan ya,negatif
bagus pejabat akhirnya dilucuti karena bodo amat sama RUU PDP,negatif
Harusnya Johnny itu beresin RUU PDP Perlindungan Data Pribadi dulu baru maksain PSE,negatif
Akan sangat berbahaya saat landasan hukum beberapa perbuatan hukum hanya diatur oleh PP dan Permen,negatif
RUU Perampasan Aset agak berat tahun ini,negatif
ah kagaklah buat apa bersimpati kepada negara udah dikadalin terus dari sejak 2008,negatif
katanya mau bikin polisi siber canggih,negatif
bantah kebocoran,negatif
ngejar hackernya,negatif
Belakangan ini marak isu kebocoran data pribadi yang meresahkan masyarakat untuk itu,negatif
Mau diberlakukan RUU PDP pun kalau pihak regulator abai atau tidak mengindahkan Secure Coding OpenSource CMS tetap rentan peretasan,negatif
Marak Kebocoran Data di Indonesi…,negatif
Maraknya Kebocoran Data Publik,negatif
RUU PDP syarat kepentingan rezim,negatif
Soal Data Bocor,negatif
Heboh Kebocoran Data,negatif
Masyarakat harus sadar kalau kondisi mereka tidak aman jika data pribadinya dibocorkan Dalam hal ini pemerintah juga t…,negatif
Drama data rakyat dalam 4 babak,negatif
Kok nggak nemu benang merahnya ya,negatif
Marak Kebocoran Data di Indonesia‚ Ahli IT Akui BSSN Kekurangan Dana,negatif
Masyarakat harus sadar kalau kondisi mereka tidak aman jika data pribadinya dibocorkan Dalam hal ini pemerintah juga tidak bisa disalahkan lantaran undang undang yang mengatur data pribadi belum disahkan,negatif
Ulah hacker Bjorka memang kelewat batas Perbuatan terlarang hacker ini malah dapat dukungan Ini sama halnya kita memberi dukungan kepada maling untuk mengobrak abrik rumah kita lantaran kita tak suka pada kepala desa dan lain sebagainya,negatif
Hmm ini mah harusnya bukan urusan kominfo,negatif
Imbas isu kebocoran data IndiHome,negatif
Masyarakat harusnya sadar bahwa ulah hacker tidak bisa dibenarkan Bukannya dulu inisiatif pemerintah mengintegrasi masyarakat di tengah corona lewat app Peduli Lindungi banyak ditentang lantaran khawatir kebocoran data,negatif
Gara gara sentimen negatif masyarakat ke pemerintah,negatif
Salah satu hacker ilegal yang sebelumnya mengaku mendapat data 1,negatif
1 dan 2 lebih PAS mana jika kalian mendukung RUU PDP segera disahkan 1 rujukan GDPR atau 2 rujukan perlindungan data diri…,netral
Rencana Pemerintah Bangun Pusat Data,netral
UU perlindungan anak mengatur publikasi identitas diri pelaku kejahatan seksual tapi di RUU PDP data pribadi spesifik menga…,netral
Siapa yang bertanggung jawab kalau ada kebocoran data,netral
Menurut RUU PDP dan GDPR,netral
RUU PDP Final Bjorka Bisa Kena Denda Rp5 Miliar,netral
Doxing di social media itu salah satu kejahatan Seharusnya segera masuk ke RUU PDP,netral
sebelumnya data di hack,netral
Kasus cyber crime makin sini makin menjadi jadi,netral
Poin penting yang tidak termuat redaksi dalam tulisan ini,netral
1 Lembaga pengawas yang berpotensi konflik kepentingan karena berada di bawah eksekutif,netral
2 Yg terpenting bukanlah disahkannya RUU PDP,netral
Anggota Komisi 1 DPR RI Muhammad Iqbal memastikan pemerintah bakal mengesahkan RUU Perlindungan Data Pribadi PDP pada tahun…,netral
RUU PDP Final Bila Data Bocor,netral
Anggota Komisi 1 DPR RI Muhammad Iqbal memastikan pemerintah bakal mengesahkan RUU Perlindungan Data Pribadi PDP pada tahun ini,netral
Ruu pdp kah Wkwkkw,netral
Marak Kebocoran Data,netral
Kalau masyarakat kita sedikit kritis,netral
Plate Johnny,netral
Menkominfo Tata Kelola dan Lembaga Terkait PDP akan Diatur dalam PP,netral
Kementerian Kominfo dan Komisi I DPR RI telah sepaka…,netral
Kementerian Komunikasi dan Informatika kemko…,netral
taunya emang harus gak di percaya kwkwwk,netral
dan manggut,netral
RUU PDP Akan Disahkan Pekan Depan,netral
RUU PDP Akan Disahkan di Paripurna,netral
Menkominfo Johnny G Plate mengapresiasi semua pihak y…,netral
RUU PDP sudah didorong  sejak 2016 lalu kepada DPR RI,netral
RUU PDP sudah didorong sejak 2016 lalu kepada DPR RI Johnny Plate,netral
Dengan disahkannya RUU PDP ini,netral
kemkominfo,netral
Johnny Plate,netral
Adanya Tim Khusus harus efektif menyasar Bjorka aslinya Sumber asli Bukan atas dasar kira2 bukti lemah Apalagi jangan sampai berkembang Bjorka akan hilang sendiri seiring kasus RUU PDP final serta disahkan,netral
Sebaiknya DPR saat ini sudah serius dengan RUU PDP imbas kasus Bjorka ini Sepertinya Menkominfo Johnny G Plate akan bernapas lega karena RUU yang ia perjuangkan akan gol sebentar lagi,netral
Heboh Isu Kebocoran Data,netral
Ini kan satu perspektif Tak mutlak benar Klaim bocoran orang dalam,netral
MENKOMINFO PENGESAHAN RUU PDP TUNGGU JADWAL RAPAT PARIPURNA DPR,netral
Menkominfo berharap ruang digital nasional…,netral
RUU PDP FINAL  KORPORASI TERANCAM DENDA BESAR JIKA DATA PENGGUNA BOCOR,netral
RUU PDP FINAL  BJORKA BISA KENA DENDA RP 5 MILIAR,netral
RUU PDP  tukang esnya harus diganti rugi 5 milyar,netral
Di RUU PDP  Apakah ada denda/sanksi yg dikenakan ke petugas yg salah tangkap,netral
Makin hari kok malah kelihatan benang merah antara BJORKA dan RUU PDP,netral
Rancangan undang undang Perlindungan Data Pribadi RUU PDP kemungkinan akan disahkan dalam waktu dekat,netral
RUU PDP kan udah rencana dari 2021,netral
RUU PDP Final Data Pengguna Bocor,netral
Arfianto juga menjelaskan bahwa anak muda berdasarkan hasil jejak pendapat yang dilakukan oleh TII menginginkan agar te…,netral
Jadi ini nangkep Bjorkanya mesti tunggu RUU PDP disahin dulu atau gimana,netral
RUU PDP final bisa di akses dimana ya,netral
Kira2 RUU PDP juga memuat sanksi untuk instansi yg menyimpan data gak,netral
Jangan cuma yg menyebar,netral
Arfianto juga menjelaskan bahwa anak muda berdasarkan hasil jejak pendapat yang dilakukan oleh TII menginginkan agar terdapat beberapa undang undang yang harus segera disahkan Salah satunya adalah RUU PDP,netral
RUU PDP Final Lembaga PDP di Bawah Presiden,netral
Ndak tertarik tema Space RUU PDP sm Om Loren,netral
Sebelum RUU PDP ditetapkan sebagai UU PDP alangkah baiknya bila peristiwa peretasan oleh Bjorka dijadikan sebagai momentum bagi PSE,netral
Pengesahan RUU PDP menunggu jadwal rapat paripurna DPR,netral
Menkominfo berharap ruang digital nasional akan lebih terjaga jika RUU PDP telah disahkan menjadi UU dalam rapat paripurna mendatang,netral
Tetapkan Standar Pelindungan Data Pribadi Kami Lewat RUU PDP,netral
Evan bikin petisi buat dorong Pemerintah dan DPR cepet2 ngesahin RUU PDP ini Kalau kamu setuju bisa bantu dgn sekalik klik di,netral
Perlindungan data pribadi sedang dituangkan dalam RUU PDP dan terus berjalan,netral
Menteri Koordinator Politik Hukum dan Keamanan Menko Polhukam Mahfud Md memperkirakan Rancangan Undang  Undang Perlindungan Data Pribadi RUU PDP akan disahkan bulan depan Saat ini RUU tersebut tinggal menunggu pengesahan menjadi UU di rapat paripurna DPR,netral
RUU PDP Bjorka Vs Kelemahan Social Security dan Cyber Security,netral
RUU PDP  akun ini ngtwit udah ampir 3thn bahas ini,netral
RUU PDP merupakan inisiatif Pemerintah yang menjadi prioritas untuk dibahas di DPR tahun 2019 berdasarkan Keputusan DPR RI Nomor 19/DPR RI/I/20182019 tentang Program Legnas RUU Prioritas Tahun 2019 dan Perubahan Program Legislasi Nasional RUU Tahun 20152019,netral
HEADLINE Buntut Aksi Hacker Bjorka DPR Janji Prioritaskan Bahas UU Perlindungan Data Pribadi,netral
Terjadinya sejumlah insiden kebocoran data berskala besar dalam beberapa waktu terakhir,netral
Untuk advokasi RUU PDP,netral
Menurut Deputi Direktur Riset ELSAM,netral
Dalam draft RUU PDP disebut penyelenggara perlindungan data pribadi dilaksanakan oleh lembaga yang dipilih dan bertanggung jawab ke Presiden RI,netral
Dalam RUU PDP,netral
Isu mengenai data pribadi tengah banyak menyedot atensi publik,netral
Bjorka teridentifikasi,netral
Menkominfo menyatakan,netral
Komisi I DPR Setujui RUU PDP,netral
Menkominfo menjelaskan…,netral
case remeh si bjorka tuh Jadi momentum baik bagi pemerintah menekan DPR demi pengesahan RUU PDP yg telah sekian lama di acuhkan Parlemen Dan Menkominfo dgn ini Berhasil menggulirkan RUU PDP,netral
MiracleInCell No7 | Eko Kuntadhi | Ning Imaz | Mabuk | Effendi Simbolon,netral
Makanya Evan bikin petisi buat DPR segera sahkan RUU PDP Kalau setuju dgn Evan,netral
Gara gara data leak bahas begini,netral
Dalam rapat tersebut menyepakati 16 BAB dan 76 pasal dalam RUU PDP,netral
Terdapat 13 poin pokok yang dihasilkan selama pembahasan RUU PDP berlangsung,netral
RUU PDP akan segera disahkan di rapat paripurna DPR,netral
Forum KWP DPR Gelar Diskusi Pembahasan RUU PDP,netral
Dave Akbarshah Fikarno memastikan DPR RI dapat segera mengesahkan Rancangan undang undang Perlindungan Data Pribadi RUU PDP,netral
Lewat petisinya Evan mendorong DPR segera mengesahkan RUU PDP,netral
RUU pdp isinya apa sih,netral
Seluruh fraksi di Komisi I DPR RI menyepakati RUU PDP akan masuk dalam tahapan Pembahasan Rapat Paripurna atau Pembahasan di Tingkat II,netral
Johnny G Plate berharap Rancangan undang undang Perlindungan Data Pribadi RUU PDP segera disahkan oleh DPR,netral
Komisi I DPR RI bersama Menkominfo Johnny G Plate,netral
RUU PDP padahal udah di lakuin FGD urgensinya dari tahun 2016,netral
lhaaa baru sekarang di sahin,netral
Kalau yg bocor punya masyarakat yang data pribadinya rahasia dan gak ada di internet,netral
UU PDP cuma salah satu bagian aja Selain itu masih ada internet governance,netral
BSSN kan ada panduan keamanan cyber di tahun 2019,netral
Menkominfo Pengesahan RUU PDP Tunggu Jadwal Rapat Paripurna DPR_RI,netral
Menkominfo Pengesahan RUU PDP Tunggu Jadwal Rapat Paripurna DPR,netral
Menteri mengatakan,netral
Terakhir kabarnya RUU PDP sudah draft ke5 atau ke6,netral
Tinggal tunggu waktu aja ya berarti,netral
Kita tinggal menunggu pengesahan RUU PDP menjadi Undang Undang PDP,netral
Setelah disepakati oleh Kementerian Kominfo dan Komisi I DPR RI,netral
Dalam UU IT…,netral
Yg cuma up data² umum doang,netral
RUU PDP bakal di jadiin nih,netral
Jika RUU PDP disahkan menjadi UU dalam rapat paripurna mendatang,netral
Seluruh poin poin dalam RUU PDP di tingkat I telah disepakati dan Panja Komisi I DPRRI,netral
Dengan disahkannya RUU PDP,netral
5 Menkominfo mengatakan bahwa pemerintah akan terus melakukan pembahasan mengenai Rancangan Undang Undang Tentang Perli…,netral
Salah satu poin yang diatur dalam RUU PDP yakni hak hak yang dimiliki oleh pemilik data pribadi Simak infografik berikut untuk mengetahuinya,netral
Kami pemerintah sekarang tentu menunggu jadwal dan pembahasan untuk rapat tingkat dua yaitu rapat paripurna DPRRI,netral
Rancangan undang undang Perlindungan Data Pribadi PDP saat ini telah memasuki tingkat kedua,netral
Kami sekarang tentu menunggu jadwal untuk pembahasan dan persetujuan tingkat II yaitu rapat paripurna DPR mudah mudahan n…,netral
RUU PDP segerakan disahkan,netral
RUU PDP,netral
Menteri Johnny mengatakan,netral
UUnya mau diundangkan,netral
RUU PDP saat ini telah memasuki tingkat kedua,netral
satu langkah menuju pengesahan RUU PDP kemkominfo,netral
Pemerintah sekarang tentu menunggu jadwal pembahasan,netral
Setidaknya ada 3 pihak yang terlibat dan menjadi bagian penting dalam pengaturan dalam RUU PDP,netral
Rachel juga menyampaikan ada sejumlah isu krusial menjadi pembahasan dalam naskah RUU PDP tersebut termasuk lembaga otoritas…,netral
Data pribadi bukannya udah lama ya ada perlindungannya,netral
Ketua DPR Puan Maharani menegaskan akan mempercepat pengesahan RUU Perlindungan Data Pribadi PDP,netral
Berikut upaya pemerintah dan DPR dalam melindungi data pribadi penduduk Indonesia lewat poin poin yang terkandung dalam RUU Perlindungan Data Pribadi,netral
RUU PDP yg baru diketok tgl 5 kemarin,netral
Data pribadi yg bersifat umum meliputi nama lengkap,netral
Menkominfo mengatakan bahwa pemerintah akan terus melakukan pembahasan mengenai Rancangan undang undang Tentang Perlindungan Data Pribadi RUU PDP Johnny berharap dengan disahkannya RUU PDP dapat menjadi payung hukum baru untuk menjaga ruang digital di Tanah Air,netral
RUU PDP yang akan segera disahkan di DPR dapat menjadi…,netral
Ayo dong DPR,netral
Menkominfo mendorong pengesahan RUU PDP,netral
Kominfo Pembahasan RUU PDP Ditargetkan Rampung Secepatnya,netral
Di GDPR memang ada kategori data umum dan data sensitif di RUU PDP disebut data spesifik Data sensitif seperti pandanga…,netral
Data² yg beredar bukan data rahasia,netral
tp hanya data² umum saja,netral
RUU PDP telah berproses di DPR,netral
RUU PDP ini akan segera dibawa ke rapat badan musyawarah Bamus DPR,netral
Masyarakat pun masih ada peluang untuk melakukan gugatan apabila merasa dirugikan dengan adanya kebocoran ini data Jadi i…,netral
dan Komisi I DPR RI telah sepakat Rancangan undang undang Perlindungan Data Pribadi RUU PDP dapat segera disahkan dengan pembahasan lanjutan di Sidang Paripurna,netral
Menkominfo Johnny Plate Harap RUU PDP Segera Disahkan,netral
Menkominfo menilai dengan disahkannya RUU PDP ini,netral
Sudah cukup lama proses RUU PDP ini,netral
RUU PDP sudah didorong Kominfo sejak 2016 lalu kepada DPR RI,netral
Menkominfo berharap RUU PDP dapat segera disahkan,netral
Di GDPR memang ada kategori data umum dan data sensitif di RUU PDP disebut data spesifik Data sensitif seperti pandangan politik,netral
Draf RUU PDP tak atur pidana bagi lembaga negara melanggar perlindungan data pribadi,netral
Srikandi Gerindra itu juga menambahkan pembahasan RUU PDP tim Komisi I DPR RI dengan Kominfo menghasilkan 371 Daftar Inventarisasi masalah DIM dan menghasilkan 16 Bab serta 76 pasal,netral
RUU PDP jg dapat golongkan data pribadi yg kombinasikan nama lengkap  no hp sebagai data umum,netral
Dalam UU ITE doxing jelas dilarang dan melanggar hukum Namun lebih spesifik pelindungan data pribadi diusulkan dalam RUU Pelindungan Data Pribadi RUU PDP,netral
Komisi I mengungkapkan RUU PDP yang segera akan disahkan,netral
Ada lima hal yang membuat hak pemilik data pribadi atau subjek dikecualikan,netral
RUU PDP telah disetujui di rapat tingkat I oleh Panja Komisi I DPR RI dan pemerintah,netral
masyarakat pun masih ada peluang untuk melakukan gugatan apabila merasa dirugikan dengan adanya kebocoran ini data Jadi itu sama penerapan UU PDP antara swasta dan publik,netral
kumparan merangkum sejumlah poin yang diatur dalam RUU Perlindungan Data Pribadi RUU PDP,netral
Komisi I DPR bersama pemerintah sepakat membawa Rancangan undang undang RUU Perlindungan Data Pribadi RUU PDP ke p…,netral
Komisi I DPR bersama pemerintah sepakat membawa Rancangan undang undang RUU Perlindungan Data Pribadi RUU PDP ke pembahasan tingkat II dlm Rapat Paripurna DPR,netral
Rachel Maryam Berharap RUU PDP Menjadi Pelindung Keamanan Data Masyarakat,netral
Tok Pelindungan Data Pribadi Mendesak,netral
Walau RUU PDP nyaris menuju final untuk sah menjadi UU,netral
Salah satunya soal independensi badan otoritas PDP yang akan berdampak pada proses pemberian sanksi bilamana pelanggarnya adalah pemerintah atau BUMN,netral
RUU PDP Segera Ketok Palu,netral
Makanya gw tanya,netral
Pembahasan terkait Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP telah memasuki babak akhir yang direncanakan akan lahir tahun 2022 ini,netral
Rame Bjorka di Linimasa twitter dan media nasional,netral
Gimana menurutmu,netral
Siapkah Pelaku Industri Patuhi RUU PDP,netral
RUU PDP masuk dalam tahapan Pembahasan Rapat Paripurna atau Pembahasan di Tingkat II,netral
RUU PDP akan segera disahkan di Paripurna,netral
Substansi RUU PDP akan semakin komprehensif,netral
Menkominfo menjelaskan,netral
Seluruh tim baik dari Pemerintah maupun DPR RI telah menyelesaikan pembahasan keseluruhan Daftar Inventarisasi Masalah DIM dan menyepakati 16 BAB dalam RUU PDP,netral
RUU PDP itu sudah sangat didorong untuk masuk prolegnas,netral
Dan masih aja ada opini ngawur soal RUU PDP  KKS,netral
Di situs DPR pun tidak ada,netral
identitas pribadi,netral
Seluruh fraksi di Komisi I DPR RI menyetujui penyusunan RUU Perlindungan Data Pribadi RUU PDP dilanjutkan ke pembahasan tingkat II atau pengambilan keputusan pada rapat paripurna DPR RI,netral
Komisi I DPR RI menyetujui Rancangan undang undang Pelindungan Data Pribadi RUU PDP yang diajukan oleh Pemerintah dalam Pembahasan di Tingkat I,netral
Menkominfo menyakini substansi RUU PDP akan semakin komprehensif,netral
Industri Ingin Terlibat Penyusunan Aturan Turunan RUU Perlindungan Data Pribadi Pembahasan terkait Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP telah memasuki babak akhir,netral
Sampai saat ini draf final RUU PDP yang sudah akan dibawa ke paripurna DPR RI belum dibuka untuk publik…,netral
RUU PDP perlu segera diselesaikan,netral
Sampai saat ini draf final RUU PDP yang sudah akan dibawa ke paripurna DPR RI belum dibuka untuk publik,netral
RUU PDP akan Disahkan,netral
Kadin RUU PDP berpotensi jadi tantangan untuk industri ekonomi digital,netral
Anggota Komisi I DPR RI,netral
Selama RUU PDP belum disahkan,netral
Saya juga menunggu pak jokowi,netral
RUU PDP Segera Disahkan,netral
Menteri Kominfo Johnny GPlate,netral
ketok RUU PDP,netral
Menteri Komunikasi dan Informatika Johnny G Plate mengatakan terkait tata kelola kelembagaan akan diatur melalui peraturan pemerintah PP PP ini sendiri masih disiapkan sambil menunggu RUU PDP disahkan dalam sidang paripurna,netral
menegaskan ketika UU PDP disahkan,netral
Tahap Akhir Pembahasan RUU PDP,netral
Hey DPR_RI,netral
Pemerintah diminta untuk melibatkan industri ekonomi digital dalam membahas aturan turunan UU Perlindungan Data Pribadi PDP…,netral
Ulah hacker Bjorka memang kelewat batas Perbuatan terlarang hacker ini malah dapat dukungan Ini sama halnya kita membe…,netral
RUU PDP sudah didorong Kominfo sejak 2016 lalu kepada DPR RI Baru pada tahun ini,netral
Tolong tambahan anggaran,netral
Harusnya masyarakat juga aktif dalam menekan DPR untuk segera mensahkan RUU PDP agar data pribadi masyarakat lebih aman dan punya payung hukum yg jelas yg akan melindungi data pribadi masyarakat,netral
Dengan tercapai kesepakatan tersebut akhirnya RUU PDP akan segera disahkan masyarakat pastinya dukung Karena akan melindungi data pribadi masyarakat,netral
Pekan Depan RUU PDP Bakal Disahkan Jadi undang undang,netral
Koalisi Advokasi Pelindungan Data Pribadi KAPDP mendorong Pemerintah dan DPR memastikan adanya partisipasi publik sebelum dan sesudah RUU PDP disahkan,netral
Pemerintah diminta untuk melibatkan industri ekonomi digital dalam membahas aturan turunan UU Perlindungan Data Pribadi PDP,netral
Sebagai staf ahli seharusnya bisa memberi penjelasan,netral
Pemerintah dan Komisi I DPR RI sudah mengesahkan RUU PDP Perlindungan Data Pribadi dalam rapat kerja,netral
Tadi sekilas baca RUU PDP,netral
UU Perlindungan Data Pribadi,netral
Komisi I Dewan Perwakilan Rakyat DPR bersama pemerintah sepakat membawa Rancangan undang undang RUU Perlindungan Data Pribadi RUU PDP ke pembahasan tingkat II dalam Rapat Paripurna DPR,netral
Rancangan undang undang Tentang Perlindungan Data Pribadi RUU PDP sebentar lagi akan disahkan menjadi undang undang Rencananya,netral
